,label,sentence
4385,anger,My father began to say incoherent things concerning my brother's and my own behaviour towards him. His biased (authoritarian) and ridiculous point of view made us angry.
3030,anger,With the girl whom I may be loved truly. When she refused to come with me to an occasion (she was from another town).
7508,sadness,About two years ago my girlfriend suggested that we separate. This really gave me a shock as I had never thought that she would say such things. The reason she gave me was that we were not suited for each other.
6304,sadness,When my first love was not successful.
1099,sadness,When my boyfriend wanted to leave me, I felt sad and melancholic.
5166,joy,Right before I went to a concert with my last boyfriend he told me that although he told me he was going to take me to the concert, he didn't want to see me anymore. After that we stayed overnight and I said \well, when he leaves me I will be ruined for awhile, but for now we're together.\ I woke up in his arms and it was the happiest moment of my life.
3292,anger,When bicycling along, a courier van started to tail me very close - I sped up and moved over and he just did the same. I reacted violently, much physical responding in the dangerous situation.
2087,anger,When a friend wouldn't speak to me and wouldn't tell me why.
1097,fear,I feared that I was pregnant. It was not planned and I would have been compelled to have an abortion, which I would not have liked at all. Fortunately, after a week's anxiety, I got to know that I was not pregnant.
371,anger,When my mother interfered in my life.
4319,shame,When I fell head on in a fountain.
6456,fear,As I was in a ward one man died and I was instructed to watch the last offices. But this was my first time to see a dead person - fear came.
2686,guilt,I was involved in a ... attempt on a man I had developed a close warming relationship with. Although I knew I had done everything I could and that his progress of a \normal\ life was poor I felt guilty as if I could have done more.
7496,shame,One day, when I was sitting on the bus, there was an old woman standing beside me. I was very tired and sleepy and did not think of giving her my seat. A 50 year old woman who was sitting beside me got up and gave her seat to the old woman and said, \ Old woman, please take my seat, the youngsters these days are not used to giving their seats to others.\ When I heard these words I was very ashamed of myself and wanted to get off the bus at once.
3974,fear,When I slipped on a glazed frost road and a car almost ran into me.
7313,sadness,The death of my father.
6510,joy,Time had struck 8 o'clock when I heard from the radio that I had been selected to Robert Blake Secondary School for Form I. I was very happy for the selection. My parents and I were very happy and full of joy.
1137,guilt,When before the last exam I have taken, I went out instead of studying.
7571,sadness,[ No response.]
7587,shame,When I was in lower six I joined an interview group to interview the general public. One of my friends in the group lost her purse and she was very nervous. Five of us had to go another place so we left her, and planned to see her later. Then I heard her describing how her purse looked. I realized that I had seen her purse on the floor and had not wanted to do any thing about it.
3804,shame,When I could not hold my bladder while making a telephone call and ended up wetting myself.
2908,fear,I felt fear once, when the car in which I travelled directed towards the precipice along the road.
5719,anger,When a friend carelessly broke and object in my parent's house and did not apologize, or pay, or anything.
550,disgust,I happened to see the video-tape movie \This is America - Part one\ at my friend's place.
7053,guilt,Late for a lecture and therefore missed it.
2350,shame,In the last day of carnival I met a boy and began to flirt with him. I was in love with him. When he introduced me to his friends I died of shame because I was with them before, I met my boyfriend in carnival
